unique_id,pickle_filename,pipeline_string,named_steps,classification_threshold,cv_accuracy,cv_precision,cv_recall,cv_roc_auc,cv_f1
2989737759052901380,/Users/ste,Pipeline(memory=None,{'ct': ColumnTransfo,0.5,0.98,0.95,0.86,0.99,0.9
1730051061815456543,/Users/ste,Pipeline(memory=None,{'ct': ColumnTransfo,0.5,0.98,0.95,0.87,0.99,0.91
1182411697280356455,/Users/ste,Pipeline(memory=None,{'ct': ColumnTransfo,0.5,0.98,0.95,0.87,0.99,0.91
1331527731917949951,/Users/ste,Pipeline(memory=None,{'ct': ColumnTransfo,0.5,0.98,0.95,0.87,0.99,0.91
5965432774930494167,/Users/ste,Pipeline(memory=None,{'ct': ColumnTransfo,0.5,0.98,0.95,0.87,0.99,0.91
2559674276372156109,/Users/ste,Pipeline(memory=None,{'ct': ColumnTransfo,0.5,0.98,0.95,0.87,0.99,0.91
601551091133794381,/Users/ste,Pipeline(memory=None,{'ct': ColumnTransfo,0.5,0.98,0.95,0.87,0.99,0.91
7331089530306465686,/Users/ste,Pipeline(memory=None,{'ct': ColumnTransfo,0.5,0.98,0.93,0.85,0.99,0.89
6597108202673437160,/Users/ste,Pipeline(memory=None,{'ct': ColumnTransfo,0.5,0.98,0.93,0.85,0.99,0.89
8920304173528512454,/Users/ste,Pipeline(memory=None,{'ct': ColumnTransfo,0.5,0.98,0.93,0.85,0.99,0.89
80111228312508571,/Users/ste,Pipeline(memory=None,{'ct': ColumnTransfo,0.5,0.98,0.93,0.86,0.99,0.89
7141363132739193139,/Users/ste,Pipeline(memory=None,{'ct': ColumnTransfo,0.5,0.98,0.93,0.86,0.99,0.89
2734965293570097310,/Users/ste,Pipeline(memory=None,{'ct': ColumnTransfo,0.5,0.98,0.93,0.86,0.99,0.89
TEST,/Users/ste,Pipeline(memory=None,{'ct': ColumnTransfo,0.5,0.98,0.95,0.84,0.99,0.89
